timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
127,2635,"Lee Jackson Hwy and Stringfellow Rd",,38.884184,-77.404995,,,,,,1
129,4131,"Bushman Dr and Ebenshire Ct",,38.874090,-77.293820,,,,,,1
131,2486,"King Centre Dr and Barclay Dr",,38.768240,-77.137890,,,,,,1
132,4073,"Saint Germain Dr and Abelia Ave",,38.837002,-77.441570,,,,,,1
134,3180,"Richmond Hwy and Roxbury Dr",,38.735440,-77.096280,,,,,,0
135,1471,"Braddock Rd and Red Spruce Rd",,38.826380,-77.292420,,,,,,1
136,1133,"Industrial Rd and Commercial Dr",,38.799030,-77.182180,,,,,,1
137,3954,"Reston South P+R Bay A",,38.925775,-77.372342,,,,,,1
140,2560,"Lawyers Rd and Steeplechase Dr",,38.923938,-77.362142,,,,,,1
141,4118,"Blake La and Oakton Crest Ct",,38.875920,-77.284430,,,,,,1
143,2015,"Franconia Rd and Cannon Ln",,38.791547,-77.100234,,,,,,0
144,2834,"Mt Vern Mem Hwy and Mt Vernon Hwy (East)",,38.711607,-77.088104,,,,,,1
145,4186,"Centreville Farms Rd and Pale Moon Way",,38.848438,-77.410054,,,,,,1
146,3548,"Sunrise Valley Dr and River Birch Rd",,38.948380,-77.421180,,,,,,1
147,3069,"14100 Park Meadow Dr",,38.870843,-77.437020,,,,,,1
148,1881,"Franklin Farm Rd and Thorngate Dr",,38.910484,-77.417603,,,,,,1
149,2290,"Highland St and Gloucester Ave",,38.792320,-77.192220,,,,,,1
150,3448,"Southrun Rd and Blue Rock La",,38.727600,-77.240320,,,,,,1
151,6136,"Belvoir Rd and 12Th St",,38.697791,-77.139354,,,,,,1
152,6200,"Cinder Bed and Newington",,38.734491,-77.184027,,,,,,0
153,1648,"Columbia Pike and Backlick Rd",,38.831370,-77.194060,,,,,,1
154,4246,"14280 Park Meadow Dr",,38.873638,-77.440029,,,,,,1
155,1581,"Centreville Rd and Clear Lake Ct",,38.930910,-77.414933,,,,,,1
156,3246,"Reston Pkwy and South Lakes Dr",,38.942610,-77.361380,,,,,,1
159,1939,"Fair Lakes Pkwy and Legato Rd",,38.861890,-77.364380,,,,,,1
160,2367,"Herndon Pkwy and Grant St",,38.982130,-77.381810,,,,,,1
161,3874,"Greensboro Dr and Spring Hill Rd",,38.928480,-77.236398,,,,,,1
162,3432,"Soapstone Dr and Stoneview Sq",,38.932735,-77.347162,,,,,,1
163,1562,"Chain Bridge Rd and Glengyle Dr",,38.891430,-77.277760,,,,,,1
164,1995,"Frying Pan Rd and Coppermine Rd",,38.942420,-77.405680,,,,,,1
165,636,"Fordson Rd and Joseph Makell Ct",,38.747090,-77.081380,,,,,,1
166,2806,"Monument Dr and Monument Hill Way",,38.856076,-77.351479,,,,,,1
167,2148,"Glade Dr and Cocquina Dr",,38.946960,-77.374320,,,,,,1
169,1429,"Braddock Rd and Wakefield Chapel Rd",,38.810810,-77.235450,,,,,,1
170,2975,"Old Keene Mill Rd and Keene Mill Ctr",,38.778770,-77.234870,,,,,,1
171,1558,"Cinder Bed and 8560 Cinder Bed R",,38.725600,-77.193400,,,,,,0
172,3647,"Thomas Dr and Deepford St",,38.781630,-77.163750,,,,,,1
173,2874,"Northumberland Rd and Lake Pleasant Dr",,38.735380,-77.215210,,,,,,1
174,4129,"Bushman Dr and Borge St",,38.873750,-77.300560,,,,,,1
175,2833,"Mt Vern Mem Hwy and Mt Vernon Hwy (West)",,38.712250,-77.088840,,,,,,1
176,2750,"Mclearen Rd and Eds Dr",,38.925460,-77.419350,,,,,,1
177,3496,"Sunrise Vly Dr and Campus Commons Dr (East)",,38.942315,-77.333096,,,,,,1
178,1045,"Mt Vernon Hwy and Cunningham Dr",,38.717880,-77.089200,,,,,,1
179,3960,"Soapstone Dr and Woodhollow Ct",,38.927160,-77.344200,,,,,,1
180,1950,"Fair Lakes Blvd and Sedgehurst Dr",,38.856749,-77.397530,,,,,,1
181,2024,"Franconia Rd and Em St",,38.783170,-77.140200,,,,,,1
182,1956,"Fair Lakes Pkwy and West Ox Rd",,38.859550,-77.372290,,,,,,1
183,1269,"Backlick Rd and Floyd Ave",,38.789780,-77.186380,,,,,,1
184,2787,"Mt Vernon Mem Hwy and Old Mill Rd",,38.707720,-77.116860,,,,,,1
185,1925,"Fort Hunt Rd and Westgrove Blvd",,38.764000,-77.059770,,,,,,1
186,1255,"Backlick Rd and Backlick Ct",,38.801160,-77.184720,,,,,,1
187,2779,"Mt Vernon Mem Hwy and Cherrytree Dr",,38.713180,-77.102030,,,,,,1
188,1934,"Fair Lakes Pkwy and Fair Knoll Dr",,38.861960,-77.387300,,,,,,1
189,3397,"S Lakes Dr and Tanbark Dr",,38.931056,-77.340869,,,,,,1
190,5922,"Lee Rd and Albemarle Point Pl",,38.891461,-77.449948,,,,,,1
191,2333,"Hooes Rd and Sydenstricker Rd",,38.756000,-77.238429,,,,,,1
192,1534,"Bennington Woods Rd and Whisperhill Dr",,38.969900,-77.357480,,,,,,1
193,3797,"Wiehle Ave and Center Harbor Rd",,38.981120,-77.336410,,,,,,1
194,5497,"Old Dominion Dr and Corner Ln",,38.933210,-77.175550,,,,,,0
195,2358,"Herndon Pkwy and Exchange Pl",,38.954530,-77.380370,,,,,,1
196,2801,"Monument Dr and Fair Lakes Promenade Dr",,38.860520,-77.365858,,,,,,1
197,1766,"Dranesville Rd and Kingstream Dr",,38.990960,-77.376910,,,,,,1
198,3552,"Sunrise Valley Dr and Int'L Ctr",,38.949120,-77.354380,,,,,,1
200,2491,"Kinross Cir and Allness La",,38.915130,-77.416270,,,,,,1
201,3327,"Sunset Hills Rd and Reston Pkwy",,38.954904,-77.354588,,,,,,1
202,652,"Richmond Hwy and Ladson La",,38.740200,-77.087360,,,,,,0
203,3586,"Tapawingo Rd and Meadow La",,38.887287,-77.267574,,,,,,1
204,2371,"Herndon Pkwy and Leona La",,38.973449,-77.370195,,,,,,1
205,4110,"Awbrey Patent Dr and Great Rocky Run",,38.847268,-77.445284,,,,,,1
206,1636,"Colts Neck Rd and Stirrup Rd",,38.928550,-77.365825,,,,,,1
207,6249,"Park St and Elmar Dr",,38.896570,-77.254006,,,,,,1
208,5570,"Old Courthouse and Woodford",,38.914573,-77.233556,,,,,,0
209,5925,"Willard Rd and Entre Ct",,38.887266,-77.435987,,,,,,1
210,952,"Richmond Hwy and Fordson Rd",,38.748680,-77.082830,,,,,,0
211,3961,"Springfield Town Ctr",,38.771840,-77.175190,,,,,,0
212,2391,"Herndon Pkwy and Springtide Pl",,38.967460,-77.404660,,,,,,1
214,2287,"Highland St and Dinwiddie St",,38.791480,-77.190540,,,,,,1
215,978,"Richmond Hwy and Schooley Dr",,38.771010,-77.081270,,,,,,0
216,1266,"Backlick Rd and Edgebrook Dr",,38.787600,-77.186110,,,,,,1
217,2887,"N Shore Dr and Forest Edge Dr",,38.969950,-77.331370,,,,,,1
218,1049,"Mt Vernon Hwy and Sunny View Dr",,38.735520,-77.091460,,,,,,1
219,2766,"Memorial St and South Kings Hwy",,38.773624,-77.090738,,,,,,1
220,2135,"Fairfax Goverment Center",,38.853440,-77.358247,,,,,,1
221,3080,"Pohick Rd and Clifforest Dr",,38.736962,-77.227011,,,,,,1
222,1008,"Richmond Hwy and Fordson Rd",,38.749140,-77.083220,,,,,,0
223,4061,"Walney Rd and Eagle Chase Rd",,38.877952,-77.434067,,,,,,1
224,3056,"Pinecrest Rd and Fox Mill Rd",,38.932937,-77.378732,,,,,,1
225,2156,"Glade Dr and Laurel Glade Ct",,38.941630,-77.368070,,,,,,1
228,1940,"Fair Lakes Pkwy and Oak Creek La",,38.859900,-77.375000,,,,,,1
229,2061,"Frontier Dr and Buckskin St",,38.778950,-77.171880,,,,,,1
230,5300,"Braddock Rd and Bradfield Dr",,38.810730,-77.263160,,,,,,1
231,5456,"Westmoreland St and Old Chesterb",,38.926128,-77.182361,,,,,,0
232,4159,"15000 Conference Center Dr",,38.876012,-77.465336,,,,,,1
233,2915,"N Shore Dr and Wiehle Ave",,38.969920,-77.334430,,,,,,1
234,4123,"Braddock Rd and Old Centreville Rd",,38.836086,-77.428571,,,,,,1
235,1913,"Flint Hill Rd and Rambling Rd",,38.892516,-77.280762,,,,,,1
236,829,"Fort Hunt Rd and Morningside La",,38.752840,-77.057150,,,,,,1
237,2666,"Leesburg Pike and Downey Dr",,38.976160,-77.309980,,,,,,1
239,2822,"Mt Vernon Hwy and Cunningham Dr",,38.717500,-77.089240,,,,,,1
240,3533,"Sunrise Valley Dr and Jefferson Park",,38.949350,-77.422160,,,,,,1
241,2706,"Little River Tnpk and Hummer Rd",,38.832890,-77.210530,,,,,,0
242,5453,"Westmoreland St and Dean Dr",,38.919269,-77.180274,,,,,,0
243,3721,"S Van Dorn St and Lake Village Dr",,38.778507,-77.135647,,,,,,1
244,3512,"Sunrise Valley Dr and Sayward Blvd",,38.958860,-77.422180,,,,,,1
245,3153,"Richmond Hwy and Frye Rd",,38.727370,-77.111640,,,,,,0
246,1462,"Braddock Rd and Randolph Dr",,38.816380,-77.168440,,,,,,1
247,1640,"Commerce St and Amherst Ave",,38.782900,-77.189350,,,,,,1
248,4180,"Centrewood Dr and Summer Tree Rd",,38.829981,-77.440316,,,,,,1
249,2349,"Herndon Pkwy and Palmer Dr",,38.958880,-77.392190,,,,,,1
250,2058,"Franconia Springfield Pkwy and Bonniemill La",,38.764540,-77.196440,,,,,,1
251,6457,"Huntington Metro",,38.792135,-77.076058,,,,,,0
253,3564,"Sunrise Valley Dr and Association Dr (West)",,38.945710,-77.346900,,,,,,1
254,2097,"Gallows Rd and Hemlock Dr",,38.851680,-77.214730,,,,,,1
255,1821,"Elden St and Center St",,38.969646,-77.388026,,,,,,1
256,3571,"Seven Woods Dr and Buckman Rd",,38.738020,-77.098500,,,,,,1
257,2976,"Old Keene Mill Rd and Rolling Rd",,38.779490,-77.231450,,,,,,1
258,5452,"Westmoreland St and Van Fleet Dr",,38.917823,-77.179242,,,,,,0
259,2231,"Greensboro Dr and Westpark Dr",,38.924755,-77.232231,,,,,,1
260,2316,"8520 Hooes Rd",,38.755600,-77.239780,,,,,,1
261,6472,"Crown Royal Dr and High Meadow Rd",,38.788367,-77.138640,,,,,,1
262,2503,"Kingstowne Blvd and Kingstowne Village Pkwy",,38.770097,-77.137847,,,,,,1
263,3088,"Pole Rd and Leaf Rd",,38.729440,-77.123370,,,,,,1
265,1764,"Dranesville Rd and Hiddenbrook Dr",,38.993910,-77.376880,,,,,,1
266,4226,"Little Rocky Run Cir and Braddock Creek Rd",,38.832879,-77.424361,,,,,,1
267,5438,"Westmoreland and Somerville",,38.915211,-77.177553,,,,,,0
268,2968,"Old Keene Mill Rd and Keene Dr",,38.773650,-77.259180,,,,,,1
269,2862,"North Kings Hwy and Fairhaven Ave",,38.786070,-77.077900,,,,,,1
271,5764,"Pentagon City Metro",,38.862974,-77.059577,,,,,,1
272,2636,"Lee Jackson Hwy and Stringfellow Rd",,38.883834,-77.405134,,,,,,1
273,2344,"Herndon Pkwy and Cordell Way",,38.967748,-77.371620,,,,,,1
274,5763,"15Th St (South) and S Fern St",,38.859658,-77.056075,,,,,,1
275,2363,"Herndon Pkwy and Ferndale Ave",,38.978980,-77.392670,,,,,,1
276,4208,"Lee Jackson Hwy and Pickwick Rd",,38.839043,-77.423974,,,,,,1
277,3521,"Sunrise Valley Dr and Edmund Halley Dr",,38.948870,-77.364140,,,,,,1
278,6118,"Saratoga Shopping Ctr",,38.739841,-77.211340,,,,,,1
279,1279,"Backlick Rd and Leestone St",,38.809360,-77.185760,,,,,,1
280,2929,"Nutley St and Roland St",,38.892770,-77.272730,,,,,,1
281,3244,"Reston Pkwy and Oslo Rd",,38.931340,-77.369620,,,,,,1
282,2826,"Mt Vernon Hwy and Grist Mill Woods Way",,38.714165,-77.131266,,,,,,1
283,2838,"Morning View La and Tassia Dr",,38.745570,-77.169590,,,,,,1
285,3418,"Soapstone Dr and Underoak Ct",,38.930666,-77.346108,,,,,,1
286,3546,"Sunrise Valley Dr and Preston White Dr",,38.941451,-77.326763,,,,,,1
287,2550,"Lawrence St and Kemper St",,38.737940,-77.113110,,,,,,1
288,5801,"Laurel Crest Dr and Silverbrook Rd",,38.711104,-77.228838,,,,,,1
289,3136,"Richmond Hwy and Cherwek Dr",,38.700768,-77.210865,,,,,,1
290,578,"Seven Woods Dr and Burlingame Pl",,38.740810,-77.098910,,,,,,1
291,6156,"Colshire Meadow and Old Meadow",,38.922674,-77.210359,,,,,,0
292,3530,"Sunrise Valley Dr and S Lakes Dr",,38.951180,-77.371740,,,,,,1
293,4171,"Centreville Farms Rd and Leland Rd",,38.844192,-77.413692,,,,,,1
294,4041,"Inova Fairfax Hospital",,38.856236,-77.228066,,,,,,1
295,3375,"S Lakes Dr and Green Watch Way",,38.934670,-77.348150,,,,,,1
296,3958,"Soapstone Dr and Hearthstone Ct (North)",,38.930555,-77.346291,,,,,,1
298,3649,"Thomas Dr and Franconia Rd",,38.779360,-77.163800,,,,,,1
299,3142,"Rose Hill Dr and Cottonwood Dr",,38.778344,-77.114881,,,,,,1
300,2425,"Huntington Ave and Metroview Pkwy",,38.797070,-77.076560,,,,,,1
301,2255,"G.W.M. Pkwy and Vernon View Dr",,38.710270,-77.063000,,,,,,1
302,1432,"Braddock Rd and Dequincey Dr",,38.822150,-77.280030,,,,,,1
303,2116,"Gallows Rd and Thor Dr",,38.848700,-77.208560,,,,,,1
304,1139,"Bren Mar Dr and Merle Pl",,38.797573,-77.155095,,,,,,1
305,2896,"N Shore Dr and Links Dr (East)",,38.958350,-77.337940,,,,,,1
306,2960,"Old Keene Mill Rd and Huntsman Blvd",,38.774120,-77.249800,,,,,,1
307,2802,"Monument Dr and Fair Lakes Prome",,38.860283,-77.365227,,,,,,1
308,1473,"Braddock Rd and Ravensworth Rd",,38.811230,-77.210520,,,,,,1
309,2326,"Hooes Rd and Gambrill Rd",,38.756640,-77.234170,,,,,,1
310,1344,"Beulah St and Miller Dr",,38.755940,-77.163650,,,,,,1
311,4020,"15Th St (South) and S Eads St",,38.859803,-77.053748,,,,,,1
312,2399,"Huntington Ave and Biscayne Dr",,38.794850,-77.072350,,,,,,0
313,959,"Vernon View Dr and Fort Hunt Rd",,38.719060,-77.061360,,,,,,1
315,4749,"Tower Dr and Tower Dr",,38.772340,-77.086350,,,,,,1
316,1991,"Fountain Dr and Baron Cameron Ave",,38.965500,-77.356080,,,,,,1
317,3529,"12361 Sunrise Valley Dr",,38.949090,-77.373820,,,,,,1
318,3523,"Sunrise Valley Dr and Glen Echo Rd",,38.951174,-77.407715,,,,,,1
319,3938,"Herndon-Monroe",,38.951673,-77.384098,,,,,,0
321,2122,"Gallows Rd and Wolftrap Dr",,38.902130,-77.223225,,,,,,1
322,2343,"Herndon Pkwy and Cavendish St",,38.980190,-77.370679,,,,,,1
324,3398,"South Lakes Village Center",,38.939570,-77.329510,,,,,,1
325,1927,"Florida Ave and Alabama Dr",,38.964036,-77.391656,,,,,,1
326,2045,"Franconia Rd and Peverill Dr",,38.789317,-77.110760,,,,,,1
327,1515,"Buckman Rd and Rolling Hills Ave",,38.739420,-77.091700,,,,,,1
328,2038,"Franconia Rd and Inwood Dr",,38.778700,-77.162930,,,,,,1
329,897,"Fort Hunt Rd and Croton Dr",,38.729910,-77.056880,,,,,,1
330,1278,"Backlick Rd and Kandel Ct",,38.819600,-77.190040,,,,,,1
331,3248,"Reston Pkwy and Sunrise Valley Dr",,38.945550,-77.359750,,,,,,1
332,1890,"Franklin Farm Rd and West Ox Rd",,38.906120,-77.383811,,,,,,1
333,6075,"Gunston Rd and Goethals Rd",,38.711665,-77.152159,,,,,,1
335,1906,"Fort Hunt Rd and Oakbrooke Ave",,38.735280,-77.054910,,,,,,1
336,2953,"Old Keene Mill Rd and Field Master Dr",,38.773220,-77.255340,,,,,,1
337,3871,"Gallows Rd and Masonville Dr",,38.847834,-77.205127,,,,,,1
338,3261,"Sacremento Dr and Hyman Way",,38.724080,-77.128810,,,,,,1
340,5296,"Braddock Rd and Bradfield Dr",,38.811010,-77.263470,,,,,,1
341,2777,"Manchester Lakes Dr and Schoonmaker Ct",,38.764636,-77.150997,,,,,,1
342,5441,"Westmoreland and Mayfair Mclean",,38.910026,-77.172789,,,,,,0
343,2969,"Old Keene Mill Rd and Keene Dr",,38.773400,-77.259180,,,,,,1
344,3380,"S Lakes Dr and Pond View Ct",,38.937220,-77.351450,,,,,,1
345,1780,"Dulles Technology Dr and River Birch Rd (North)",,38.953960,-77.416350,,,,,,1
346,1935,"Fair Lakes Pkwy and Shoppes La",,38.861790,-77.387040,,,,,,1
347,4138,"Chain Bridge Rd and Babcock Rd",,38.888440,-77.281550,,,,,,1
350,1135,"Sheldon Dr and Bren Mar Dr",,38.797019,-77.157191,,,,,,1
351,3475,"Stringfellow Rd and Fair Lakes Pkwy",,38.862067,-77.405626,,,,,,1
352,3340,"Sherwood Hall La and Wellington Rd",,38.747700,-77.064250,,,,,,1
353,4306,"White Granite Dr and Chain Bridge Rd",,38.874344,-77.305846,,,,,,1
354,2348,"Herndon Pkwy and Cavalier Dr",,38.979760,-77.389290,,,,,,1
355,6131,"Abbot Rd and Wills Rd",,38.715927,-77.149854,,,,,,1
356,4301,"Walney Rd and Waverly Crossing Way",,38.876615,-77.432250,,,,,,1
357,3654,"Thomas Jefferson Dr and Jefferson Commons",,38.947420,-77.406600,,,,,,1
358,2918,"N Shore Dr and Washington Plz",,38.969130,-77.342140,,,,,,1
359,3531,"Sunrise Valley Dr and Indian Ridge Rd",,38.947380,-77.349230,,,,,,1
360,2546,"Lawyers Rd and Glenbrooke Woods Dr",,38.914540,-77.378420,,,,,,1
361,2879,"N Shore Dr and Cameron Crescent Dr",,38.969410,-77.339210,,,,,,1
362,3289,"Sunset Hills Rd and Business Center Dr",,38.947032,-77.325717,,,,,,1
364,2963,"Old Keene Mill Rd and Westmore Dr (East)",,38.777410,-77.195180,,,,,,1
