stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
638,2074,"Gallows and Boone",,38.914417,-77.227242,,,,,,0
639,2075,"Gallows Rd and Boone Blvd",,38.913740,-77.228060,,,,,,0
640,2076,"Gallows Rd and Merry Oaks La",,38.907199,-77.221833,,,,,,1
641,2078,"Gallows Rd and Cottage St",,38.886980,-77.226990,,,,,,1
642,2079,"Gallows Rd and Cottage St",,38.886970,-77.227260,,,,,,1
643,2082,"Gallows Rd and Dolce Dr",,38.846700,-77.203650,,,,,,1
644,2083,"Gallows Rd and Dolce Dr",,38.846860,-77.203610,,,,,,1
645,2087,"Gallows Rd and Railroad St",,38.898360,-77.224250,,,,,,1
646,2088,"Gallows Rd and Electric Ave",,38.898270,-77.224540,,,,,,1
647,2089,"Gallows Rd and Elm Pl",,38.895810,-77.225140,,,,,,1
648,2090,"Gallows Rd and Elm Pl",,38.895940,-77.224850,,,,,,1
649,2091,"Gallows Rd and Executive Ave",,38.849850,-77.210270,,,,,,1
650,2092,"Gallows Rd and Gatehouse Rd",,38.869607,-77.227120,,,,,,1
651,2093,"Gallows Rd and Gatehouse Rd",,38.868490,-77.227670,,,,,,1
654,2096,"Gallows Rd and Gallows Branch Rd",,38.908885,-77.222792,,,,,,1
655,2097,"Gallows Rd and Hemlock Dr",,38.851680,-77.214730,,,,,,1
656,2098,"Gallows Rd and Holmes Run Dr",,38.852820,-77.217860,,,,,,1
657,2099,"Gallows Rd and Iliff Dr",,38.892000,-77.224860,,,,,,1
658,2100,"Gallows Rd and Lee Hwy",,38.873851,-77.227260,,,,,,1
659,2101,"Gallows Rd and Lee Hwy",,38.873691,-77.226829,,,,,,1
660,2103,"Gallows Rd and Madron La",,38.904950,-77.222472,,,,,,1
661,2104,"Gallows Rd and Madron La",,38.904390,-77.222890,,,,,,1
662,2105,"Gallows Rd and Madrillon Rd",,38.911112,-77.225426,,,,,,1
664,2107,"Gallows Rd and Merry Oaks La",,38.908070,-77.222580,,,,,,1
665,2108,"Gallows Rd and Oak St",,38.900200,-77.224040,,,,,,1
666,2109,"Gallows Rd and Oak St",,38.900282,-77.223719,,,,,,1
667,2111,"Gallows Rd and Providence Forest Dr",,38.877210,-77.227100,,,,,,1
668,2112,"Gallows Rd and Prescott Dr",,38.878730,-77.227540,,,,,,1
